our_reference,qty,pack,code,description,retail,price,cost,total_goods
SORD00595099,1,1,KF21001,Q-Connect Foolscap Tabbed Suspension Files (Pack of 50) KF21001,19.3,9.63,10.9,9.63
SORD00595099,1,10,KF21660,Q-Connect Business Storage Box 335x400x250mm Green and White (Pack of 10) KF21660,34.14,17.05,21.29,17.05
SORD00595099,1,1,KF24001,Q-Connect Punched Pockets Polypropylene 50 Micron A4 Embossed (Pack of 100) KF24001,9.07,4.53,9.07,4.53
SORD00595099,2,1,KF26038,Q-Connect Drywipe Marker Pen Assorted (Pack of 4) KF26038,1.9,0.95,1.9,1.9
SORD00595099,1,1,KF26053,Q-Connect Multipurpose Labels 99.1x34mm 16 Per Sheet White (Pack of 1600) KF26053,9.77,4.88,9.77,4.88
SORD00595099,1,1,KF27001,Q-Connect Staples 26/6mm (Pack of 5000) KF27001,2.14,1.07,1.23,1.07
SORD00595099,1,6,KF27014,Q-Connect Adhesive Tape 24mm x 33m (Pack of 6) KF27014,2.27,1.13,2.27,1.13
SORD00595099,2,20,KF34042,Q-Connect Ballpoint Pen Medium Black (Pack of 20) KF34042,2.29,1.14,2.29,2.28
SORD00595099,1,1,KF3458,Q-Connect C4 Envelopes Self Seal 100gsm White (Pack of 250) 8300,19.47,9.72,19.47,9.72
SORD00595099,1,1,KF3469,Q-Connect C5 Envelopes Pocket Self Seal 90gsm White (Pack of 500) 2898,17.01,8.49,17.01,8.49
SORD00595099,1,1,KF37015,Q-Connect Aluminium Frame Whiteboard 900x600mm 54034621 KF37015,31,15.48,31,15.48
SORD00595099,2,1,KF50172,Jemini Sheaf High Back Operator Chairs CH0S02CH,157.2,78.5,157.2,157
SORD00595099,5,1,KF73374,2Work Wheelie Bin Liner Clear (Pack of 100) KF73374,30.29,15.12,30.29,75.6
SORD00595099,1,1,WAC10400,Wallace Cameron Disposable Latex Gloves Medium (Pack of 100) 2603005,16.83,10,16.83,10
SORD00595099,1,1,WAC10687,Wallace Cameron Green Box 10 Person First Aid Kit 1002278,23.98,11.97,23.98,11.97
SORD00595099,5,1,WX43931,Blue Centrefeed Roll 2-Ply 150m (Pack of 6) KMAT6238,20.76,13.36,20.76,66.8
SORD00595099,1,1,HANDSANSTAND,"AIKE Hand Sanitizer Dispenser Stand, Automatic Soap Dispenser Touchless with Mobile Hand Sanitiser Station, Stainless Steel Sanitiser Stand with Sign ",116,116,74.99,116
SORD00595099,4,1,C-KF72330,Jemini Rectangular Folding Table 1830x760x740mm White KF72330,270.83,270.83,103.21,1083.32
SORD00595099,9,1,GR0901,"3FT Garment Rail with 2"" castors - Black - 3GR3C4S",42.28,35.28,26.19,317.52
SORD00595099,1,1,307-935,"4"" Black Hanger Connector - 1000 per box",23.59,23.59,18.2,23.59
SORD00595099,5,1,404-002,41cm Plastic Dress/Blouse Hanger Black with Notches (500 per box),99.99,99.99,38.85,499.95
SORD00595099,3,1,HOOVER,James Hoover GREY - All stores /Starters JVP180,118.13,128.13,116.16,384.39
SORD00595099,1,1,URBANNOWLAB,"882 - Urban Labels printed Now1000 labels per roll 10,000 per pk",7.99,7.99,6.86,7.99
SORD00595099,50,1,402-610-100,333 - 44cm Angled Wooden Top Hanger with Notches,72.35,72.35,56,3617.5
SORD00595099,30,1,402-628-100,Wooden Bottom/Clip Hanger - 35cm - Natural - 100 per box ,92,92,75,2760
